18:05:43.362 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/139350921.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.362 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-mlq/139350579.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.362 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-xyq/139349772.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.362 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/138024475.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.362 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/137290829.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.363 [main] INFO  Job51JobSpider - url:http://ideal.51job.com/longi/job-detail.html?jobid=139349170,为异常模板
18:05:43.363 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/119491805.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.363 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/139342937.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.364 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/chengmai/139348144.html?s=sou_sou_soulb&t=0_1已抓取过，跳过
18:05:43.364 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/139347213.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.364 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/139207062.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.364 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/139345523.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.364 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/139346070.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.365 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-mlq/139346603.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.365 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/136488938.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.365 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/nanning/139343743.html?s=sou_sou_soulb&t=0_1已抓取过，跳过
18:05:43.365 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-xyq/139344320.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.365 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/128176759.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.365 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/121247988.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.366 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/139342943.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.366 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/139168559.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.366 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/wenchang/138783365.html?s=sou_sou_soulb&t=0_1已抓取过，跳过
18:05:43.366 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/126129099.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
